id,name,symbol,rank,price,day_volume,market_cap,p_day_vol,available_supply,total_supply,p_tot_supply,max_supply,p_max_supply,p_change_hour,p_change_day,p_change_week,last_updated,load_date
neblio,Neblio,NEBL,89,11.7283,2158000.0,151321234.0,0.0142610520874,12902231.0,13654186.0,0.944928610171,1.0,0,-0.0008,-0.017,-0.2316,2018-03-14 10:34:14,2018-03-14 10:38:41
maidsafecoin,MaidSafeCoin,MAID,90,0.330311,1462900.0,149483040.0,0.00978639449666,452552412.0,452552412.0,1.0,1.0,0,-0.009,0.0338,-0.103,2018-03-14 10:34:03,2018-03-14 10:38:41
tenx,TenX,PAY,91,1.39072,3795970.0,145554577.0,0.026079358535,104661310.0,205218256.0,0.509999997271,1.0,0,-0.0034,0.0266,-0.1752,2018-03-14 10:34:11,2018-03-14 10:38:41
request-network,Request Network,REQ,92,0.210633,1828910.0,139587963.0,0.0131022042352,662706996.0,999999999.0,0.662706996663,1.0,0,-0.0013,0.0069,-0.2061,2018-03-14 10:34:15,2018-03-14 10:38:41
enigma-project,Enigma,ENG,93,1.85947,6134880.0,139155615.0,0.0440864711065,74836171.0,150000000.0,0.498907806667,1.0,0,-0.0025,-0.0036,-0.1897,2018-03-14 10:34:16,2018-03-14 10:38:41
iconomi,Iconomi,ICN,94,1.39141,869412.0,138773232.0,0.00626498343715,99735687.0,99735687.0,1.0,1.0,0,0.0014,0.0065,-0.3079,2018-03-14 10:34:08,2018-03-14 10:38:41
sirin-labs-token,SIRIN LABS Token,SRN,95,0.603582,14101200.0,138376020.0,0.101904939888,229258029.0,573145073.0,0.399999999651,1.0,0,-0.0091,-0.029,-0.0551,2018-03-14 10:34:18,2018-03-14 10:38:41
singularitynet,SingularityNET,AGI,96,0.259972,467017.0,135630002.0,0.00344331632466,521710040.0,1000000000.0,0.52171004,1.0,0,0.0154,-0.0104,-0.2226,2018-03-14 10:34:19,2018-03-14 10:38:41
storj,Storj,STORJ,97,1.00567,7789080.0,134182015.0,0.0580486140412,133425493.0,424999998.0,0.313942337948,1.0,0,-0.0169,-0.0269,-0.077,2018-03-14 10:34:12,2018-03-14 10:38:41
bitcore,Bitcore,BTX,98,10.4531,1722790.0,128843806.0,0.013371151113,12325894.0,16852406.0,0.731402625833,21000000.0,0.586947333333,0.0046,-0.0002,-0.009,2018-03-14 10:34:10,2018-03-14 10:38:41
nexus,Nexus,NXS,99,2.28887,2456680.0,128467178.0,0.0191230167755,56126900.0,56126900.0,1.0,1.0,0,-0.013,-0.0798,-0.3177,2018-03-14 10:34:05,2018-03-14 10:38:41
substratum,Substratum,SUB,100,0.559734,18296400.0,126551071.0,0.144577203934,226091449.0,352000000.0,0.642305252841,1.0,0,-0.0124,-0.0737,0.2663,2018-03-14 10:34:14,2018-03-14 10:38:41
